Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.04,0.04,0.04,0.04,817400,0.0,0.0
1962-01-03,0.04,0.04,0.04,0.04,778500,0.0,0.0
1962-01-04,0.04,0.04,0.04,0.04,934200,0.0,0.0
1962-01-05,0.04,0.04,0.04,0.04,934200,0.0,0.0
1962-01-08,0.04,0.04,0.04,0.04,1245600,0.0,0.0
1962-01-09,0.04,0.04,0.04,0.04,622800,0.0,0.0
1962-01-10,0.04,0.04,0.04,0.04,661700,0.0,0.0
1962-01-11,0.04,0.04,0.04,0.04,1985200,0.0,0.0
1962-01-12,0.04,0.04,0.04,0.04,1985200,0.0,0.0
1962-01-15,0.04,0.04,0.04,0.04,622800,0.0,0.0
1962-01-16,0.04,0.04,0.04,0.04,350300,0.0,0.0
1962-01-17,0.04,0.04,0.03,0.03,389200,0.0,0.0
1962-01-18,0.04,0.04,0.04,0.04,311400,0.0,0.0
1962-01-19,0.04,0.04,0.04,0.04,428100,0.0,0.0
1962-01-22,0.04,0.04,0.04,0.04,350300,0.0,0.0
1962-01-23,0.04,0.04,0.04,0.04,1167700,0.0,0.0
1962-01-24,0.04,0.04,0.04,0.04,350300,0.0,0.0
1962-01-25,0.04,0.04,0.04,0.04,155700,0.0,0.0
1962-01-26,0.04,0.04,0.04,0.04,350300,0.0,0.0
1962-01-29,0.04,0.04,0.04,0.04,233500,0.0,0.0
1962-01-30,0.04,0.04,0.04,0.04,661700,0.0,0.0
1962-01-31,0.04,0.04,0.04,0.04,311400,0.0,0.0
1962-02-01,0.04,0.04,0.04,0.04,1245600,0.0,0.0
1962-02-02,0.04,0.04,0.04,0.04,622800,0.0,0.0
1962-02-05,0.04,0.04,0.04,0.04,389200,0.0,0.0
1962-02-06,0.04,0.04,0.04,0.04,233500,0.0,0.0
1962-02-07,0.04,0.04,0.04,0.04,1401300,0.0,0.0
1962-02-08,0.04,0.04,0.04,0.04,2063000,0.0,0.0
1962-02-09,0.04,0.04,0.04,0.04,1012000,0.0,0.0
1962-02-12,0.04,0.04,0.04,0.04,622800,0.0,0.0
1962-02-13,0.04,0.04,0.04,0.04,622800,0.0,0.0
1962-02-14,0.04,0.04,0.04,0.04,194600,0.0,0.0
1962-02-15,0.04,0.04,0.04,0.04,467100,0.0,0.0
1962-02-16,0.04,0.04,0.04,0.04,3697900,0.0,0.0
1962-02-19,0.04,0.04,0.04,0.04,817400,0.0,0.0
1962-02-20,0.04,0.04,0.04,0.04,233500,0.0,0.0
1962-02-21,0.04,0.04,0.04,0.04,116700,0.0,0.0
1962-02-23,0.04,0.04,0.04,0.04,428100,0.0,0.0
1962-02-26,0.04,0.04,0.04,0.04,739500,0.0,0.0
1962-02-27,0.04,0.04,0.04,0.04,467100,0.0,0.0
1962-02-28,0.04,0.04,0.04,0.04,272400,0.0,0.0
1962-03-01,0.04,0.04,0.04,0.04,428100,0.0,0.0
1962-03-02,0.04,0.04,0.04,0.04,272400,0.0,0.0
1962-03-05,0.04,0.04,0.04,0.04,428100,0.0,0.0
1962-03-06,0.04,0.04,0.04,0.04,155700,0.0,0.0
1962-03-07,0.04,0.04,0.04,0.04,116700,0.0,0.0
1962-03-08,0.04,0.04,0.04,0.04,350300,0.0,0.0
1962-03-09,0.04,0.04,0.04,0.04,506000,0.0,0.0
1962-03-12,0.04,0.04,0.04,0.04,389200,0.0,0.0
1962-03-13,0.04,0.04,0.04,0.04,350300,0.00025,0.0
1962-03-14,0.04,0.04,0.04,0.04,583800,0.0,0.0
1962-03-15,0.04,0.04,0.04,0.04,272400,0.0,0.0
1962-03-16,0.04,0.04,0.04,0.04,116700,0.0,0.0
1962-03-19,0.04,0.04,0.04,0.04,544900,0.0,0.0
