Company,% Change
Gautam Gems,+19.63
United Drilling Tool,+15.64
IFB Industries,+14.00
Shashijit Infraproje,+13.75
Cybertech System,+11.70
Rexnord Electron,+10.58
Cheviot Co Ltd,+10.18
Sarthak Metals,+10.00
Amba Enterprises,+9.99
Dhanvarsha Finvest,+9.99
Akshar Spintex,+9.98
Reliable Ventures In,+9.98
Benara Bearings,+9.96
RS Software (India),+9.93
NHC Foods,+9.86
U Y Fincorp,+9.30
Damodar Industries,+9.15
Lakshmi Machines,+9.14
Capital India Fin,+9.13
Mystic Electronics,+9.09
Space Incubatrics,+8.89
Northern Spirits,+8.63
Pradeep Metals,+7.95
Rajoo Engineers,+6.86
HLE Glasscoat,+6.44
Granules India L,+6.43
Usha Martin Ltd.,+6.32
Minda Industries,+6.22
Solitaire Machin,+6.18
Manali Petrochem,+6.12
Jay Bharat Marut,+5.98
AstraZeneca Pharma I,+5.94
Lakshmi Elect.,+5.82
Shivalik Rasayan,+5.74
Pioneer Investco,+5.74
Indian Acrylics,+5.69
Jamna Auto Inds.,+5.58
Jost's Engg.,+5.51
Alicon Castalloy,+5.43
Prime Property Devel,+5.41
Milk Food,+5.33
Samrat Pharma,+5.32
Pasupati Acrylon,+5.31
Tips Industries,+5.05
Unichem Labs,+5.02
Orosil Smiths India,+5.00
Dhampure Specialty S,+5.00
Burnpur Cement Ltd.,+5.00
Innovators Facade Sy,+5.00
Yashraj Containeurs,+5.00
Contil India,+5.00
Mega Corporation,+5.00
IRIS Business Servic,+5.00
Jayaswal Neco Indust,+5.00
Kaira Can Co.,+5.00
Chandrima Mercantile,+5.00
MPIL Corporation,+5.00
KSE,+5.00
Unitech Ltd.,+5.00
Abhinav Capital Serv,+5.00
Kellton Tech Solutio,+5.00
Jagjanani Textiles L,+5.00
Duke Offshore Lt,+5.00
Polymechplast Ma,+5.00
Aarti Surfactants,+5.00
Vadilal Enterprises,+5.00
Mangalam Drugs,+5.00
Mavi Industries,+5.00
Hind. Food,+5.00
Simplex Realty,+5.00
Muller&Phipps Lt,+5.00
Mahasagar Travels,+5.00
Rossell India,+5.00
Glittek Granites,+5.00
Uday Jewellery,+5.00
RR Financial Consult,+5.00
Autoline Industries,+4.99
Taneja Aerospace,+4.99
Aarey Drugs & Ph,+4.99
Kretto Syscon,+4.99
Everest Organics,+4.99
Classic Leasing,+4.99
Remi Sales & Eng,+4.99
Cambridge Technology,+4.99
Dhanvantri Jeeva,+4.99
GRP L,+4.99
Tanla Solutions,+4.99
Wanbury,+4.99
ISMT Ltd.,+4.99
Coral Labs.,+4.99
VMS Industries Ltd.,+4.99
Salasar Techno Engin,+4.99
Narendra Investments,+4.99
Globus Spirits Ltd.,+4.98
Shiva Texyarn Ltd.,+4.98
Venus Remedies L,+4.98
Praxis Home Retail L,+4.98
Garden Silk Mill,+4.98
W S Industries,+4.98
Ahm. Steelcraft,+4.98
IEL Ltd,+4.98
Shahlon Silk Indust,+4.98
Universus Photo Imag,+4.98
Guj. Containers,+4.97
Dish TV India Ltd.,+4.97
Ashnoor Textile,+4.97
Digicontent,+4.97
Bigbloc Construction,+4.97
Garg Furnace Lim,+4.96
Sterling and Wilson,+4.96
Bacil Pharma,+4.96
TCFC Finance Ltd,+4.96
Ashapura Min. Lt,+4.96
Ashok Alco-Chem,+4.96
Fomento Resorts,+4.96
Prajay Engineers,+4.96
Godavari Drugs,+4.95
Phaarmasia Ltd.,+4.95
Supreme Infrastructu,+4.95
Rainbow Foundati,+4.95
ATV Projects,+4.95
Scandent Imaging,+4.95
Continental Cont,+4.95
Vaarad Ventures,+4.95
E-Land Apparel,+4.95
Bhagwati Auto.,+4.95
Pankaj Piyush Trade,+4.95
Mukand Engineers,+4.94
Prime Industries,+4.94
A Infrastructure,+4.94
Sangal Papers Li,+4.94
VIP Clothing,+4.94
Filatex Fashions,+4.94
Catvision Ltd.,+4.93
Aryaman Financia,+4.93
Jindal Capital L,+4.93
Sanmit Infra,+4.93
Somi Conveyor Beltin,+4.93
Vitesse Agro L,+4.93
Vapi Enterprise,+4.93
Tejas Networks,+4.93
Unjha Formulatio,+4.93
Shubham Polyspin,+4.92
Biopac India,+4.92
Switching Tech.,+4.92
Jupiter Infomedia Lt,+4.92
MBL Infrastructures,+4.92
Sir Shadilal Ent,+4.92
Retro Green Revoluti,+4.92
Beardsell Ltd.,+4.91
Elixir Capital,+4.91
Trident Texofab,+4.91
Greenpanel Industrie,+4.91
Rudra Global Infra P,+4.91
Shree Rama Multi,+4.91
Sadbhav Engineering,+4.91
Yash Man.&Satlt.,+4.91
Birla Precision Tech,+4.91
Lime Chemicals,+4.91
Rama Steel Tubes Ltd,+4.90
Organic Coatings,+4.90
Unitech Internationa,+4.90
Prime Urban Dev.,+4.90
Shri Dinesh Mill,+4.90
Guj. Terce Labor,+4.90
Pankaj Polymers,+4.90
Pratiksha Chemic,+4.89
Ashima Ltd.,+4.89
Sunshield Chemic,+4.89
Cranex Ltd,+4.89
Tarai Foods Limi,+4.89
Biofil Chemicals,+4.89
VXL Instrument,+4.88
South Asian Ente,+4.88
Abhishek Infraventur,+4.88
Jumbo Bags Ltd,+4.88
Decipher Labs,+4.88
Jyoti Resins & A,+4.88
Rap Media,+4.88
Sawaca Business Mach,+4.88
Sintex Industrie,+4.88
OnMobile Global Ltd.,+4.88
Cella Space Ltd.,+4.87
Gopala Polyplast,+4.87
Magnum Ventures Ltd.,+4.87
Zee Media Corp,+4.87
Guj. Craft Indus,+4.87
Athena Global Techno,+4.86
Crestchem Ltd.,+4.86
Kwality,+4.86
Asahi Songwon Colors,+4.86
Spice Islands Ap,+4.86
CG Power and Indust,+4.85
National Steel and A,+4.85
Videocon Industries,+4.85
Adinath Exim Res,+4.85
Modern Steels,+4.85
Alfa Ica (India),+4.85
Synthiko Foils,+4.85
Chandni Machines,+4.85
