Company,% Change
Source Natural Foods,+127.12
CG Power and Indust,+126.11
Dhanvarsha Finvest,+125.81
Kaushalya Infrastruc,+108.55
Toyam Industries,+108.48
PremierLtd.,+106.84
Gemstone Invest,+106.67
GBL Industries,+102.91
National Steel and A,+102.82
Tirupati Tyres,+101.01
Kellton Tech Solutio,+95.85
Esha Media Research,+94.96
Biopac India,+91.04
Softsol India,+87.21
ARC Finance,+86.84
Maris Spinners L,+86.75
Skyline Millars,+86.36
Axtel Industries,+85.07
Aarti Surfactants,+84.89
Ramco Systems Lt,+82.67
Orient Tradelink,+81.67
Global Offshore Ser,+80.22
Optiemus Infracom,+76.47
MSR India,+75.46
Hindustan Bio Scienc,+74.55
Vikram Thermo (I,+73.16
HDIL,+72.25
Supremex Shine Steel,+72.14
Crestchem Ltd.,+69.42
Emerald Leasing Fin,+69.32
Standard Surfact,+69.32
Bombay Rayon Fashion,+69.19
DRA Consultants,+68.83
Indbank Merchant,+67.33
Bhagawati Oxygen,+67.23
Prime Urban Dev.,+66.74
CG-VAK Software,+66.67
Xtglobal Infotech,+66.45
GVK Power & Infrastr,+66.00
Simran Farms Lim,+64.71
Aarey Drugs & Ph,+64.65
Apollo Finvest,+64.12
VIP Clothing,+63.56
Rap Media,+62.88
Avon Lifesciences L,+62.08
Transglobe Foods,+61.42
ISMT Ltd.,+61.41
Butterfly Gandhima,+60.75
Mangalam Drugs,+60.58
Pooja Entertainment,+60.30
3i Infotech,+59.32
Va Tech Wabag Ltd.,+57.61
GayatriSugars,+57.46
Akme Star Housing,+57.23
Indsil Hydro Power a,+57.10
Danlaw Technologies,+56.42
Ashapura Min. Lt,+55.98
Digicontent,+55.90
Pasari Spinning,+55.00
Xelpmoc Design and T,+54.63
Vivimed Labs,+54.30
Globus Spirits Ltd.,+54.28
Real Strips,+54.07
Anjani Foods,+54.07
Guj. Petrosynthe,+53.94
Tanla Solutions,+53.76
eClerx Services,+53.62
Shahlon Silk Indust,+53.45
DFM Foods Limi,+53.39
SEL Manufacturing Co,+53.33
Anubhav Infrastructu,+53.18
Navkar Builders,+52.90
Duke Offshore Lt,+52.84
Expleo Solutions,+52.75
Dish TV India Ltd.,+52.34
Prime Focus,+52.32
Prince Pipes & Fitti,+52.23
Jayshree Chem.,+51.93
Hind. Flurocarbo,+51.92
Titan Biotech Ltd.,+51.69
Emco Ltd.,+51.40
BLB Ltd.,+50.98
AK Spintex L,+50.85
LancorHoldings Ltd,+50.82
Genesys Int.Corp.,+50.72
HIM Teknoforge,+50.67
Polymechplast Ma,+50.45
Lancer Container Lin,+49.86
JHS Svendgaard Labor,+49.62
Ceinsys Tech,+49.60
McLeod Russel,+49.25
Vikas Multicorp,+49.08
Dynamatic Techno,+49.03
Vitesse Agro L,+48.56
Affle (India),+48.33
Adani Enterprises Lt,+47.91
Phaarmasia Ltd.,+47.78
Shangar Decor,+47.77
Technocraft Industri,+47.75
Ind-Swift L,+47.50
Praveg Communication,+47.44
Capital Trade Links,+47.34
B2B Soft.Tech.Ltd.,+46.92
Roxy Exports,+46.84
Adani Green Energy,+46.81
Zee Entertainment En,+46.74
Aditya Ispat,+46.74
Nucleus Software,+46.49
Biofil Chemicals,+46.15
Medico Intercontinen,+46.13
Unique Organics,+45.97
Zee Media Corp,+45.95
IFB Industries,+45.86
Indiabulls Ventures,+45.68
Natural Capsules,+45.67
BCC Fuba India,+45.66
Rossell India,+45.40
Shriram City Uni,+45.23
Ganga Papers India L,+45.12
Continental Cont,+44.88
Venky's (India) Ltd.,+44.86
AvanceTechnologies,+44.74
McNally Bharat E,+44.68
Wardwizard Innovatio,+44.43
Racl Geartech,+44.40
Aksh Optifibre,+44.15
Manali Petrochem,+44.08
PTC Industries,+43.81
Emami Ltd.,+43.55
Pee Cee Cosma,+43.49
Zenith Healthcare,+43.39
E-Land Apparel,+43.24
Trigyn Technolog,+43.20
Zicom Electronic,+43.15
Innovative Tech,+43.14
Tips Industries,+43.05
Metalyst Forgings,+42.39
