Company,% Change
Dhanvarsha Finvest,+37.19
Polyspin Exports,+27.79
Vadilal Enterprises,+27.61
Classic Leasing,+27.55
Rainbow Foundati,+27.52
Catvision Ltd.,+27.29
Praxis Home Retail L,+27.24
A Infrastructure,+27.15
Vitesse Agro L,+27.13
Kellton Tech Solutio,+27.06
Kretto Syscon,+26.98
GVK Power & Infrastr,+26.91
Jayaswal Neco Indust,+26.85
Pharmaids Pharma,+26.74
Biopac India,+26.73
Crestchem Ltd.,+26.70
W S Industries,+26.69
Creative Eye,+26.67
Tips Industries,+26.66
Chandni Machines,+26.57
Shree Karthik Pa,+26.22
Euro Ceramics Ltd.,+25.64
Toyam Industries,+25.53
SEL Manufacturing Co,+25.45
Atharv Enterprises,+25.00
Yash Man.&Satlt.,+24.78
Avon Lifesciences L,+23.56
Zenith Healthcare,+23.18
Duke Offshore Lt,+22.81
Space Incubatrics,+22.50
ARC Finance,+22.41
Chandrima Mercantile,+21.39
Aditya Ispat,+21.08
Organic Coatings,+21.01
Rap Media,+21.01
Bacil Pharma,+20.82
Gautam Gems,+20.75
Kachchh Minerals Ltd,+20.62
Abhishek Infraventur,+20.28
Sumeru Industries Lt,+20.00
Shukra Pharma,+19.80
Landmark Property De,+19.73
National Steel and A,+19.01
Emerald Leasing Fin,+18.93
Vodafone Idea L,+18.91
Pankaj Piyush Trade,+18.80
Sejal Glass,+18.61
NHC Foods,+18.49
United Drilling Tool,+18.06
Shahlon Silk Indust,+18.00
Narendra Investments,+17.92
Xtglobal Infotech,+17.87
Adani Green Energy,+17.85
Vadilal Indus.,+17.85
PremierLtd.,+17.66
Garg Furnace Lim,+17.46
Hind. Food,+17.45
Deep Diamond India,+17.39
IndiaMART InterMESH,+16.97
OCL Iron & Steel,+16.92
Mega Corporation,+16.67
Futuristic Sec.,+16.28
Ahm. Steelcraft,+15.71
Simplex Realty,+15.62
Pratiksha Chemic,+15.46
Thomas Scott (India),+15.43
Kaira Can Co.,+15.34
RR Financial Consult,+15.24
CG Power and Indust,+15.05
NMS Resources Global,+14.98
Gemstone Invest,+14.81
Supremex Shine Steel,+14.76
Technocraft Industri,+14.70
Pankaj Polymers,+14.65
Padmanabh Industries,+14.54
Alps Industries,+14.40
Garnet Construct,+14.29
Sun Techno Overseas,+14.29
Mystic Electronics,+14.29
Continental Cont,+14.23
VBC Ferro Allo,+14.08
Richirich Inventures,+13.95
Pioneer Investco,+13.67
Saras.Commercial,+13.64
Cheviot Co Ltd,+13.48
Lakshmi Machines,+13.24
LancorHoldings Ltd,+13.02
Nicco Parks & Re,+12.96
Alliance Integrated,+12.57
Scandent Imaging,+12.54
E-Land Apparel,+12.53
Winsome Brewerie,+12.50
Jain Irrigation,+12.38
Simran Farms Lim,+12.26
Apollo Finvest,+12.08
Granules India L,+11.87
KPI Global Infra,+11.77
Super Bakers (India),+11.58
Vaarad Ventures,+11.58
Solid Stone Company,+11.48
Jamna Auto Inds.,+11.43
Aditya Birla Capital,+11.20
Asian Granito India,+11.20
Humming Bird Educat,+11.05
Duroply lndustries L,+11.02
Radhe Developers,+10.94
Sainik Finance & Ind,+10.54
Sharp Investments,+10.53
Ruttonsha Intl.,+10.39
Upasana Finance,+10.34
DFM Foods Limi,+10.34
Transglobe Foods,+10.29
Praveg Communication,+10.29
Shangar Decor,+10.29
Alembic Ltd.,+10.28
Maris Spinners L,+10.24
Softsol India,+10.22
Prismx Global Ventur,+10.19
CHD Chemicals Ltd.,+10.18
Archit Organosys,+10.12
Medico Intercontinen,+10.09
IFB Industries,+10.06
Acme Resources,+10.05
Anjani Portland,+10.00
AvanceTechnologies,+10.00
Spice Islands Ap,+10.00
Niyogin Fintech,+9.99
Mishtann Foods L,+9.95
Vallabh Steel Lt,+9.94
Lords Ishwar Hotels,+9.89
Dhampure Specialty S,+9.84
Zee Media Corp,+9.77
Unique Organics,+9.71
Banas Finance Lt,+9.69
G V Films,+9.68
Tuni Textile Mil,+9.68
RRIL,+9.63
Kunststoffe Inds,+9.58
Guj. Petrosynthe,+9.54
Synthiko Foils,+9.49
Chambal Brewerie,+9.46
Ashika Credit Cap.,+9.45
Ind Renewable Energy,+9.41
Palash Securities,+9.40
Mohit Paper Mill,+9.35
Sunil Industries,+9.35
Precision Elect.,+9.32
Valiant Communic,+9.28
Amaze Entertech,+9.25
Ganga Papers India L,+9.17
Pratik Panels Li,+9.16
Wardwizard Innovatio,+9.05
Anubhav Infrastructu,+9.05
Globus Spirits Ltd.,+8.87
Esha Media Research,+8.87
GBL Industries,+8.85
Amco India Ltd.,+8.84
Sical Logistics,+8.84
Prime Property Devel,+8.74
AstraZeneca Pharma I,+8.69
Ester India,+8.69
Hipolin Ltd.,+8.67
United Breweries Ltd,+8.66
Ausom Enterprise,+8.58
Fredun Pharma,+8.53
Victory Paper &,+8.51
Confidence Finance,+8.47
Usha Martin Educatio,+8.33
Moneyboxx Finance,+8.33
Anjani Synthetic,+8.33
Cindrella Hotels,+8.30
Jupiter Infomedia Lt,+8.11
B&A Packaging India,+8.05
Pooja Entertainment,+7.96
Parvati Sweetners,+7.89
HLE Glasscoat,+7.89
Samtex Fashions,+7.84
East West Holdings,+7.84
Palred Technologies,+7.78
Polytex India Lt,+7.69
Real Strips,+7.68
Bella Casa Fashion &,+7.55
Biocon,+7.54
Cybertech System,+7.50
VST Tillers Tr,+7.43
Sangal Papers Li,+7.38
Universal Office Aut,+7.36
Inox Wind Ltd.,+7.33
Gokak Textiles,+7.24
Aditya Birla Money L,+7.17
Vinaditya Trading Co,+7.14
Advanced Enzyme Tech,+7.13
Diamond Power Infras,+7.06
SE Power,+7.04
Ramco Systems Lt,+6.95
Gajra Bevel Gear,+6.94
Manali Petrochem,+6.92
Poly Medicure Lt,+6.75
Pradeep Metals,+6.74
Sir Shadilal Ent,+6.68
Shyam Century Ferro,+6.67
Bharti Infratel Ltd.,+6.63
Times Guaranty,+6.53
Dhanada Corporation,+6.46
Yashraj Containeurs,+6.42
Videocon Industries,+6.40
Hester Biosciences L,+6.38
NEL Holdings,+6.38
BLB Ltd.,+6.36
Esaar (India) Li,+6.25
PTC Industries,+6.17
InterGlobe Aviation,+6.15
Pricol L,+6.06
CCL International Lt,+6.00
Oceanaa Biotek Ind,+6.00
Ritesh Internati,+6.00
Shah Alloys,+5.95
Garware Syntheti,+5.93
Symbiox Investment,+5.88
Prince Pipes & Fitti,+5.77
Plastiblends Ind,+5.76
Prism Medico and Pha,+5.70
Royal India Corp,+5.68
Continental Sec,+5.67
Elixir Capital,+5.65
Sterling Guarant,+5.63
Electrosteel Cas,+5.58
Anisha Impex Ltd.,+5.56
Indsil Hydro Power a,+5.55
WEP Solutions,+5.50
Restile Ceramics,+5.50
RS Software (India),+5.48
Ajel Ltd.,+5.45
Alexander Stamps,+5.35
Commercial Syn Bags,+5.29
Tirupati Tyres,+5.29
Shilchar Technologie,+5.26
Kavit Industries,+5.26
Ashari Agencies,+5.26
HB Stockholding,+5.22
Eveready Industr,+5.19
DB (International),+5.06
Prime Urban Dev.,+5.04
Shree Steel Wire,+5.03
Amal Ltd.,+5.03
Asian Oilfield S,+5.01
Abhinav Capital Serv,+5.00
Metkore Alloys & Ind,+5.00
JSW Energy Ltd.,+5.00
Muller&Phipps Lt,+5.00
Astec Lifesciences L,+4.99
Rudra Global Infra P,+4.91
Sanmit Infra,+4.90
Swadeshi Polytex,+4.84
Senthil Infotek,+4.81
DJ Mediaprint & Logi,+4.80
Emami Ltd.,+4.77
Vishvprabha Ventures,+4.76
Super Tex Indust,+4.74
Ashapura Min. Lt,+4.73
Maxgrow India,+4.71
SV Global Mill Ltd.,+4.63
Riba Textiles Li,+4.61
SBC Exports,+4.60
WPIL Ltd.,+4.57
Inducto Steel Li,+4.49
Mukand Ltd.,+4.48
ISMT Ltd.,+4.41
Alankit,+4.40
Milk Food,+4.38
Ashnoor Textile,+4.38
Bannari Amman Su,+4.37
Piccadily Agro I,+4.36
Goblin India,+4.32
Kaushalya Infrastruc,+4.27
Guj. Leasing Fin,+4.21
Sanco Trans,+4.21
JHS Svendgaard Labor,+4.20
5Paisa Capital,+4.18
J. Taparia Projects,+4.17
HDIL,+4.15
Vision Corporation,+4.11
