Company,% Change
AVT Natural Prod,-19.75
The United Nilgiri,-6.72
Somi Conveyor Beltin,-6.62
Centum Electronics L,-6.25
GTL Infrastructure,-6.25
ICICI Securities,-6.11
Donear Industrie,-5.14
5Paisa Capital,-5.0
Au Small Finance Ban,-5.0
Jagsonpal Pharma,-5.0
Silly Monks Entertai,-5.0
HOV Services Ltd.,-4.99
Mittal Life Style,-4.99
Williamson Magor,-4.99
Jiya Eco Products Lt,-4.98
Tanla Solutions,-4.97
Apollo Micro Systems,-4.96
Den Networks Ltd.,-4.96
Keynote Financial,-4.93
Rajdarshan Indus,-4.91
Birla Tyres,-4.89
Sterlite Technologie,-4.87
North Eastern Carry,-4.84
Sanco Industries,-4.84
Kirloskar Elect,-4.81
Mirza International,-4.81
Deepak Fertilisers,-4.77
Shemaroo Entertainme,-4.76
Tribhovandas Bhimji,-4.73
Gokul Agro Resources,-4.72
Gujarat Pipavav Port,-4.72
Max Ventures and Ind,-4.71
Century Extru.,-4.65
Morarjee Textiles Li,-4.64
Thangamayil Jeweller,-4.62
Sheela Foam,-4.57
Bigbloc Construction,-4.54
DB (International),-4.5
Karma Energy,-4.48
AMJ Land Holdings L,-4.45
Cubex Tubings Lt,-4.41
Vikas WSP,-4.39
Apollo Sindoori Hote,-4.32
MMP Industries Ltd.,-4.29
Shipping Corpn.,-4.28
Ujaas Energy,-4.2
Va Tech Wabag Ltd.,-4.2
Arvind Fashions,-4.1
Sical Logistics,-4.08
Thyrocare Tech.,-4.07
GMR Infrastructure L,-4.05
Agro Phos India,-4.0
Shree Pushkar Chemic,-3.99
Navin Fluorine Inter,-3.97
Hikal Ltd.,-3.91
Tourism Finance,-3.91
Hind. Food,-3.87
Sastasundar Ventures,-3.85
Nahar Spg Mills,-3.82
Aster DM Healthcare,-3.78
Whirlpool of Ind,-3.74
Reliance Inds.,-3.72
V Mart Retail,-3.69
Aegis Logistics Ltd.,-3.66
Tijaria Polypipes Lt,-3.57
BSL Ltd,-3.51
Aarti Drugs Ltd,-3.4
Hilton Metal Forging,-3.35
Rallis India,-3.35
Capital Trust Lt,-3.31
Poddar Housing,-3.31
GMM Pfaudler Ltd,-3.3
Bang Overseas Ltd.,-3.28
GKW L,-3.27
Dynemic Products,-3.25
Jay Bharat Marut,-3.25
Sirca Paints India,-3.25
Sharda Motor Ind,-3.24
CreditAccess Grameen,-3.23
Kajaria Ceramics,-3.22
Aro Granite Indu,-3.19
Almondz Global Secur,-3.18
Nelcast Ltd.,-3.18
Granules India L,-3.13
Rama Steel Tubes Ltd,-3.13
Mahamaya Steel Indus,-3.1
Piramal Enterprises,-3.1
Banco Products,-3.08
NBI Industrial Fin,-3.08
Datamatics Global Se,-3.03
GTPL Hathway,-3.03
Commercial Engineers,-2.99
Anik Industries,-2.97
Orbit Exports Li,-2.93
GFL L,-2.92
Nestle India,-2.91
Times Guaranty,-2.91
Indian Terrain Fashi,-2.9
RBL Bank,-2.89
Shree Renuka Sugars,-2.89
Finolex Cables,-2.88
TeamLease Service,-2.88
Cinevista L,-2.86
Cantabil Retail Indi,-2.85
Oricon Enterprises L,-2.79
Orient Cement Ltd.,-2.69
Uniply Industries,-2.68
Guj. Amb.Exports,-2.67
Pritish Nandy Comm.,-2.66
IVP,-2.63
Kothari Sugar,-2.61
GRP L,-2.6
Indian Metal & F,-2.59
HCL Technologies,-2.53
Vardhman Acrylics Lt,-2.53
Nagreeka Exports,-2.51
Network 18 Media & I,-2.51
Repro India Ltd.,-2.51
Sadbhav Engineering,-2.51
Mahi. & Mahi,-2.5
Manaksia Coated Meta,-2.5
Maral Overseas,-2.5
Golden Tobacco Ltd.,-2.48
Cambridge Technology,-2.47
Orient Refractories,-2.47
Kitex Garments,-2.44
Igarashi Motors Indi,-2.43
Prime Securities,-2.41
Equitas Holdings Ltd,-2.4
Nitco Ltd.,-2.38
Central Depository,-2.35
Precision Camshafts,-2.34
CESC Ltd.,-2.32
Rane (Madras),-2.32
Mold-Tek Packaging,-2.3
Eimco Elecon Ind,-2.27
GE Power India,-2.26
Sanghi Industrie,-2.26
Peninsula Land L,-2.25
Banaras Beads Li,-2.23
Gabriel India,-2.23
Precot Meridian Ltd.,-2.23
Bharat Wire Ropes Lt,-2.2
Honda India Power,-2.18
Reliance Ind.Inf,-2.17
SREI Infrastructure,-2.17
Bhagyanagar India Lt,-2.16
Hero MotoCorp,-2.16
Celebrity Fashions L,-2.15
Sadbhav Infrastructu,-2.13
Sandesh,-2.13
Shiva Mills,-2.12
Chennai Petro.,-2.09
Pudumjee Paper Produ,-2.08
Vadilal Indus.,-2.07
Amara Raja Batt.,-2.06
Sunflag Iron,-2.06
Centrum Capital,-2.05
Geojit Financial,-2.05
MCX,-2.04
HDFC Bank,-2.03
Hind. Copper,-2.01
Sanghvi Forging & En,-2.01
Satin Creditcare,-2.01
Redington (India) Lt,-2.0
Lotus Eye Hospital,-1.99
Hind. Petrol,-1.97
Jai Corp Ltd.,-1.97
Motilal Oswal Financ,-1.97
Shirpur Gold Refiner,-1.97
Entertainment Networ,-1.95
JK Tyre & Industries,-1.93
SORIL Infra Resource,-1.93
Kothari Petroche,-1.92
MphasiS Ltd.,-1.92
Radico Khaitan Ltd.,-1.92
Rossari Biotech,-1.91
Mas Financial Servic,-1.89
Munjal Auto Industr.,-1.89
Oberoi Realty,-1.88
Omax Auto,-1.88
Asahi Songwon Colors,-1.87
Bharat Forge,-1.86
Dr. Lal Pathlabs Ltd,-1.86
Can Fin Homes,-1.84
Foseco India Lim,-1.84
Bhartiya Interna,-1.82
MOIL Ltd.,-1.8
SKM Egg Produc,-1.8
KPR Mill Ltd.,-1.77
TTK Prestige L,-1.77
P&G Hygiene&Health,-1.76
Kewal Kiran Clothing,-1.75
Setco Automotive,-1.75
Somany Home Innovat,-1.75
Bhansali Engg.Po,-1.73
KPIT Technologies,-1.73
Bajaj HindusthanSuga,-1.71
Emami Paper Mill,-1.7
Electrosteel Cas,-1.69
IFGL Refractories,-1.69
JTEKT India,-1.69
Gati Ltd.,-1.68
Vinyl Chemicals,-1.68
YES Bank Ltd.,-1.68
