Company,% Change
Eicher Motors,-89.99
Trident Texofab,-74.02
Ballarpur Ind.,-49.64
Morganite Crucible (,-44.77
Elegant Floricul,-43.67
Netripples Software,-43.46
UTL Industries,-39.73
Ishaan Infrastru,-39.36
Ruchi Infrastructure,-38.81
SAR Auto Products,-36.67
Hi-Tech Winding Sys,-35.66
Shubham Polyspin,-35.52
Sybly Industries Ltd,-35.16
Darshan Orna,-34.21
Neil Industries,-33.21
KLG Capital Serv,-33.09
Ratnabhumi Developer,-32.99
Caprolactam Chemical,-32.8
Panth Infinity,-32.58
Katare Spg. Mill,-32.54
Hathway Bhawani Cabl,-31.62
Radaan Mediaworks(I),-31.58
NCL Research,-31.58
Genus Prime Infra Lt,-31.5
Nyssa Corporation,-31.25
Benara Bearings,-31.16
Comfort Commotrade L,-30.0
Saffron Industries L,-29.65
Himachal Fibres,-29.19
Talwalkars Better Va,-29.01
Madhav Infra Project,-28.35
Golkonda Aluminium,-28.3
Kilpest India Lt,-27.61
Spice Islands Ap,-27.49
N2N Technologies,-27.46
BSEL Infra. Realty,-27.34
Nath Bio-Genes,-26.75
Talwalkars Healthclu,-26.74
Corp.Couriers&Cargo,-26.67
Intense Technologies,-26.67
Modern Steels,-26.66
Guj. Distillers,-26.61
Five X Tradecom,-26.0
Vas Infrastructure L,-25.93
Anupam Finserv,-25.63
Atishay L,-25.21
CLIO Infotech,-24.78
Intl. Combustion,-24.73
Leading Leasing Fin,-24.08
Alok Industries Ltd.,-24.01
Tinna Rubber and Inf,-23.97
Suzlon Energy Ltd.,-23.69
Samtex Fashions,-23.61
Modulex Construction,-22.76
Shri Niwas Leasing,-22.48
KCL Infra Projects,-22.11
Cybele Industries Lt,-21.72
Sulabh Eng.&Ser.,-21.37
Quest Softech (India,-21.05
Sampre Nutrition,-20.94
Jenburkt Pharmac,-20.8
Ajanta Soya Ltd.,-20.62
Vishnu Chemicals,-20.35
Rodium Realty L,-20.16
Maharashtra Corp,-20.0
RO Jewels,-19.72
Innovative Ideals,-19.65
Karuturi Global Ltd.,-19.57
Swadeshi Polytex,-19.55
Balaji Telefilms Ltd,-19.55
Atlanta Ltd.,-19.25
Kerala Ayurveda Ltd.,-19.2
Medicamen Biotec,-19.11
Sawaca Business Mach,-18.87
Ruchi Soya Inds.,-18.62
Baid Leasing and,-18.2
Meyer Apparel L,-18.18
Syncom Healthcare Lt,-17.91
Emmessar Biotech,-17.9
Regency Trust Lt,-17.87
