Company,% Change
HKG Ltd,-78.57
Morganite Crucible (,-56.27
Benara Bearings,-31.16
Polylink Polymer,-22.63
Coral Newsprints,-22.57
Natural Capsules,-22.53
Max India,-22.5
Ishaan Infrastru,-22.46
Hi-Tech Winding Sys,-22.45
California Softw,-22.44
RattanIndia Infra,-22.44
Chemtech Industrial,-22.44
Goldstone Tech,-22.42
Alchemist,-22.38
Vikas Ecotech L,-22.36
Scooters India,-22.31
Supreme Holdings,-22.2
TGB Banquets,-22.15
Emmessar Biotech,-21.76
Sumeet Industrie,-21.72
SORIL Infra Resource,-21.59
Mini Diamonds,-21.36
Shelter Infra,-21.35
Omkar Speciality Che,-20.67
IntegratedFinSer,-20.34
McLeod Russel,-20.25
PSL Ltd.,-19.48
Genus Prime Infra Lt,-19.41
Shriram EPC Ltd.,-18.54
Guj. Distillers,-18.52
PCS Technology,-18.45
Sri Krishna Construc,-18.26
Mahaan Foods Lim,-18.24
Advance Syntex,-18.22
SAR Auto Products,-18.22
TCNS Clothing,-18.21
Ras Resorts,-18.15
Arihant Institute,-18.08
Bharat Bhushan Fin.,-18.02
Tilak Ventures L,-18.0
Kridhan Infra,-17.87
Windsor Machines,-17.85
CJ Gelatine,-17.76
Saffron Industries L,-17.67
Ritesh Properties &,-17.61
Vikas Multicorp,-17.48
Intrasoft Technologi,-17.45
Vivid Global Industr,-17.44
Sybly Industries Ltd,-17.44
Anik Industries,-17.26
Cimmco,-17.02
Tirupati Starch,-16.98
NDR Auto Components,-16.89
Zen Technologies Ltd,-16.88
Future Retail L,-16.86
Ruchira Papers Ltd.,-16.68
Brightcom Group,-16.67
Maharashtra Corp,-16.67
Kimia Biosciences,-16.45
Zicom Electronic,-16.4
Atlanta Ltd.,-16.3
Sahara Housingfina C,-16.28
Zodiac Ventures,-16.24
Nihar Info Global Lt,-16.18
Somi Conveyor Beltin,-16.16
Vardhman Polytex,-16.14
Emami Realty,-16.13
Tarmat L,-16.05
Agio Paper & Industr,-15.82
Magma Fincorp Ltd.,-15.77
Thomas Cook (I),-15.71
Sundaram Finance,-15.46
Williamson Magor,-15.45
Ramchandra Leasing,-15.38
Caprolactam Chemical,-15.23
Odyssey Technolo,-15.16
Orient Abrasives,-15.08
Ruchi Infrastructure,-15.06
Arshiya,-14.94
Reliance Naval,-14.89
Talwalkars Healthclu,-14.89
Shreevatsaa Fina,-14.87
Patspin India,-14.83
McNally Bharat E,-14.79
Chromatic India,-14.71
Chaman Lal Setia,-14.71
Arrow Greentech,-14.71
Roxy Exports,-14.71
Innovative Ideals,-14.69
Prima Industries,-14.68
Emmbi Industries,-14.62
Lasa Supergenerics,-14.57
Sagar Productions,-14.49
Mangalam Drugs,-14.41
Satia Industries,-14.41
MPDL,-14.4
Optiemus Infracom,-14.37
Future Enterprises,-14.36
Mahindra Lifespace D,-14.34
Aarey Drugs & Ph,-14.32
La Tim Metal & Ind,-14.29
Phaarmasia Ltd.,-14.23
Bio Green Papers,-14.14
Piramal Enterprises,-14.1
D-Link (India),-14.04
Williamson Finan,-14.04
Sabrimala Industries,-14.04
Dharani Sugars,-14.01
Chemcrux Enterprises,-13.95
Gujarat Metallic,-13.94
Novateor Research,-13.93
Indiabulls Housing F,-13.93
SAL Steel,-13.92
