Company,Prev Close (Rs),Current Price (Rs),% Change
Integra Garments,0.55,1.6,+190.91
Jain Studios Ltd,2.4,5.4,+125.00
Impex Ferro Tech Ltd,0.45,1.0,+122.22
Reliance Com,1.55,3.3,+112.90
Biofil Chemicals,12.8,24.85,+94.14
Vikas Multicorp,5.05,9.4,+86.14
Oriental Aromatics,188.6,348.9,+84.99
Akash Infra-Projects,87.0,157.65,+81.21
Balaxi Ventures,123.9,223.85,+80.67
Mask Investments,33.1,59.25,+79.00
IOL Chemicals and Ph,449.6,782.5,+74.04
DCM Financial,0.95,1.65,+73.68
Indo Count Inds.,37.15,64.0,+72.27
5Paisa Capital,222.9,381.3,+71.06
Xelpmoc Design and T,70.8,117.4,+65.82
McLeod Russel,7.8,12.7,+62.82
Universus Photo Imag,91.6,148.2,+61.79
Kaushalya Infrastruc,0.65,1.05,+61.54
Tanla Solutions,71.7,109.0,+52.02
Vertoz Advertising,78.85,119.7,+51.81
Ballarpur Ind.,1.45,2.2,+51.72
Vikas Ecotech L,4.35,6.6,+51.72
Majesco L,359.85,543.3,+50.98
Intense Technologies,24.4,36.55,+49.80
Matrimony.com,386.8,572.25,+47.94
Dynemic Products,142.4,209.6,+47.19
Naga Dhunseri Group,476.3,701.05,+47.19
Laurus Labs,519.45,763.85,+47.05
Venus Remedies L,58.55,86.0,+46.88
Dishman Carbogen Amc,121.75,178.2,+46.37
Eveready Industr,81.85,118.95,+45.33
Paisalo Digital L,214.5,310.0,+44.52
Panache Digilife,38.5,55.5,+44.16
Pearl Polymers,15.3,22.05,+44.12
IRB Infrastructure,88.55,126.8,+43.20
RattanIndia Infra,3.75,5.35,+42.67
Rana Sugars,4.25,6.05,+42.35
Bigbloc Construction,29.6,42.05,+42.06
Asahi Songwon Colors,148.05,210.05,+41.88
Kellton Tech Solutio,15.6,21.95,+40.71
Intellect Design,111.65,157.05,+40.66
The United Nilgiri,242.15,339.35,+40.14
Persistent Systems,635.1,887.8,+39.79
Granules India L,202.6,282.75,+39.56
Sagar Cements,334.45,466.15,+39.38
Intrasoft Technologi,49.95,69.0,+38.14
Au Small Finance Ban,543.5,746.4,+37.33
Poly Medicure Lt,294.4,402.2,+36.62
Shree Pushkar Chemic,89.1,121.65,+36.53
Thyrocare Tech.,508.5,692.95,+36.27
The Peria Karamalai,95.0,129.2,+36.00
Sree Rayalaseema Hi-,118.95,161.35,+35.65
Autoline Industries,19.9,26.95,+35.43
Tarmat L,25.0,33.7,+34.80
National Fertilizers,32.85,44.0,+33.94
Satia Industries,73.3,97.65,+33.22
BLS International Se,65.1,86.6,+33.03
Hathway Cable & Data,31.7,42.05,+32.65
IVP,37.8,50.05,+32.41
NIIT Technologies,1409.2,1862.85,+32.19
Pricol L,37.9,50.1,+32.19
ITI,104.1,137.35,+31.94
The Andhra Sugars,259.45,341.55,+31.64
Infibeam Avenues,59.35,78.0,+31.42
Aarti Drugs Ltd,1270.55,1668.4,+31.31
Firstsource Solution,35.7,46.85,+31.23
Bharat Rasayan,7459.15,9785.25,+31.18
Birlasoft,89.45,116.75,+30.52
MphasiS Ltd.,878.75,1142.05,+29.96
Central Depository,270.7,351.25,+29.76
Rain Industries,76.0,98.55,+29.67
Infosys,735.95,954.15,+29.65
MCX,1283.9,1663.9,+29.60
Thangamayil Jeweller,259.25,335.7,+29.49
Cosmo Films,313.15,405.4,+29.46
Deepak Nitrite,475.05,614.9,+29.44
Geekay Wires,68.65,88.85,+29.42
Saksoft Ltd.,187.75,242.6,+29.21
Caplin Point Lab,312.4,403.25,+29.08
NOCIL Ltd.,82.9,106.85,+28.89
PTC India Financial,12.55,16.15,+28.69
Kingfa Science & Tec,362.65,466.3,+28.58
Harrisons Malaya,71.35,91.65,+28.45
Zensar Technologies,123.85,158.95,+28.34
Suven Pharmaceutical,470.4,603.2,+28.23
Camlin Fine Sciences,52.55,67.3,+28.07
Rossell India,61.25,78.3,+27.84
Jump Networks,59.2,75.5,+27.53
Dhunseri Investments,162.8,207.45,+27.43
Astec Lifesciences L,789.55,1003.4,+27.09
Bannari Amman Su,1021.8,1293.95,+26.63
Jayshree Tea,43.95,55.65,+26.62
GTPL Hathway,67.0,84.8,+26.57
Kopran Ltd,35.15,44.4,+26.32
Wipro Ltd,219.65,277.0,+26.11
Lakshmi Finance,41.65,52.5,+26.05
Dixon Technologies,5758.9,7250.7,+25.90
Zydus Wellness Ltd.,1275.75,1604.2,+25.75
Sequent Scientific,91.65,114.65,+25.10
Repco Home Finance L,122.55,153.1,+24.93
Uflex Ltd.,209.55,261.5,+24.79
Tejas Networks,47.9,59.75,+24.74
HCL Technologies,556.85,694.4,+24.70
Ramco Systems Lt,110.15,137.35,+24.69
Mastek Li,399.0,496.95,+24.55
Tech Mahindra,543.4,676.4,+24.48
India Power Corp,8.85,11.0,+24.29
Muthoot Finance,1086.05,1348.2,+24.14
Bodal Chemicals,59.7,74.1,+24.12
Edelweiss Fin. Ser,62.8,77.8,+23.89
Shrenik L,40.25,49.85,+23.85
Polyplex Corpn.,473.55,585.35,+23.61
Garware Tech. Fibres,1368.3,1689.85,+23.50
Meghmani Organics,51.4,63.4,+23.35
Reliance Inds.,1704.1,2096.65,+23.04
Salasar Techno Engin,158.2,194.5,+22.95
Responsive Industrie,75.9,93.3,+22.92
Sasken Technologies,481.0,590.6,+22.79
MSTC Ltd.,122.2,149.9,+22.67
L&T Infotech,1957.9,2400.45,+22.60
Lincoln Pharmace,160.05,195.75,+22.31
Cybertech System,41.7,51.0,+22.30
Dr. Lal Pathlabs Ltd,1564.55,1910.3,+22.10
Maha. Scooters,2504.55,3051.15,+21.82
Apollo Hospitals,1349.85,1641.3,+21.59
Apollo Micro Systems,104.15,126.45,+21.41
Royal Orchid Hotels,53.05,64.4,+21.39
Bharat Petroleum,374.0,453.8,+21.34
Neuland Laborat,576.45,699.1,+21.28
Rajratan Global Wire,216.7,262.7,+21.23
Magnum Ventures Ltd.,4.5,5.45,+21.11
SMS Pharmaceuticals,62.25,75.35,+21.04
Bharat Forge,319.35,385.95,+20.85
Saregama India Ltd.,426.8,515.5,+20.78
Inventure Growth & S,14.25,17.2,+20.70
Inspirisys Solutions,23.2,28.0,+20.69
Allied Digital Servi,17.0,20.5,+20.59
Bharat Dynamics,333.25,401.5,+20.48
Kiri Industries,415.2,500.0,+20.42
Manappuram Finance,151.35,181.95,+20.22
Hinduja Global Solut,654.2,786.2,+20.18
Nucleus Software,263.15,316.2,+20.16
FIEM Industries,355.6,426.85,+20.04
Sagardeep Alloys,111.0,133.2,+20.00
Fineotex Chemical Lt,26.45,31.65,+19.66
Allcargo Logistics,79.2,94.75,+19.63
Poddar Pigments,151.0,180.5,+19.54
Unichem Labs,175.1,209.15,+19.45
TGB Banquets,3.6,4.3,+19.44
