Company,% Change
Kuantum Papers,-88.46
Karda Constructions,-73.76
Mittal Life Style,-65.71
YES Bank Ltd.,-54.3
Birla Tyres,-53.43
Opto Circuits India,-52.35
Prakash Steelage Ltd,-51.28
DQ Entertainment (In,-48.72
Ruchi Soya Inds.,-47.98
Andhra Cement,-46.8
National Steel and A,-46.34
Omaxe Ltd.,-46.19
JMT Auto Ltd.,-44.44
Borosil Renewables,-44.24
Kridhan Infra,-43.4
Mercator Ltd.,-43.33
Lloyds Steels Ind.,-42.86
Agro Phos India,-42.86
Urja Global,-42.35
Hotel Rugby Limi,-41.67
Syncom Healthcare Lt,-41.67
Ujaas Energy,-40.0
GTL Infrastructure,-40.0
FCS Software Sol.Ltd,-40.0
Oriental Trimex,-39.61
Viceroy Hotels L,-38.89
NRB Industrial Beari,-38.67
Future Consumer,-38.55
Viji Finance,-38.1
Oswal Agro Mills,-37.63
Alok Industries Ltd.,-37.55
Ruchi Infrastructure,-37.23
Zicom Electronic,-37.04
GTN Industries,-36.82
Next Mediaworks,-35.71
Sanwaria Consumer,-35.53
Neueon Towers,-35.29
CLC Industries,-35.0
Arcotech Ltd.,-34.29
Radha Madhav Corpora,-34.0
Som Distilleries,-33.6
KSS L,-33.33
Burnpur Cement Ltd.,-33.33
Gammon Infrastructur,-33.33
Manaksia Coated Meta,-33.33
Bil Energy Systems L,-33.33
Coral India Finance,-33.11
SORIL Infra Resource,-32.99
JHS Svendgaard Labor,-32.9
Elgi Rubber Co.,-32.79
CIL Nova Petrochemic,-32.1
Rolta India,-31.94
VIP Clothing,-31.72
Kwality,-31.63
W S Industries,-31.43
Bhandari Hosiery,-31.43
Genesys Int.Corp.,-31.35
Jindal Poly Investme,-31.01
Tijaria Polypipes Lt,-30.77
Mohota Industries L,-30.6
Kirloskar Elect,-29.79
GVK Power & Infrastr,-29.69
Prozone Intu Propert,-29.63
TCI Finance,-29.52
Omkar Speciality Che,-29.46
Guj. Raffia Indu,-29.33
Indiabulls Integrate,-29.03
SREI Infrastructure,-28.95
BLB Ltd.,-28.93
INEOS Styrolution,-28.83
Cambridge Technology,-28.34
Morarjee Textiles Li,-28.29
Brightcom Group,-27.78
Sintex Industrie,-27.78
Sakar Healthcare,-27.65
Rohit Ferro-Tech,-27.59
Uttam Galva Steels,-27.47
Arvind Fashions,-27.46
JITF Infralogistics,-27.33
Cinevista L,-27.14
Manaksia Aluminium,-27.04
Oswal Green Tech,-26.84
Visa Steel,-26.81
Mirc Electronics,-26.63
Alps Industries,-26.47
Seya Industries,-26.41
Balkrishna Paper Mil,-26.18
Aban Offshore,-26.13
Refex Industries,-25.96
Delta Manufacturing,-25.8
Aksh Optifibre,-25.76
Xpro India Ltd.,-25.67
DiGiSPICE Technologi,-25.64
SAL Steel,-25.64
Country Club Hospita,-25.35
HFCL,-25.16
Jayaswal Neco Indust,-25.0
Gyscoal Alloys Ltd.,-25.0
OCL Iron & Steel,-24.69
Shree Renuka Sugars,-24.66
Hilton Metal Forging,-24.12
Orient Green Power C,-24.07
Setubandhan Infra,-24.0
Shriram EPC Ltd.,-24.0
Ruchira Papers Ltd.,-23.98
Ducon Infratech,-23.96
Maha Rashtra Ape,-23.76
LGB Forge Ltd.,-23.73
Eurotex Inds.,-23.68
Flexituff Ventures,-23.68
Ginni Filaments,-23.64
Parsvnath Developers,-23.19
Uttam Value Steels,-23.08
SPML Infra,-23.04
Ausom Enterprise,-22.98
Ind-Swift L,-22.95
Shah Alloys,-22.81
A2Z Infra Engineer,-22.73
BSEL Infra. Realty,-22.58
Nila Spaces L,-22.22
Vodafone Idea L,-22.17
Indowind Energy Ltd.,-22.08
Future Lifestyle,-22.05
Ganesh Housing,-21.93
KDDL Ltd.,-21.83
Arihant Superstructu,-21.82
Bajaj HindusthanSuga,-21.77
IMP Powers,-21.68
Jaypee Infratech Ltd,-21.62
Surana Solar,-21.6
Hind. Motor,-21.58
Dhunseri Ventures,-21.53
Vikas Proppant & Gra,-21.52
Vaswani Industries L,-21.43
ARSS Infrastructure,-21.23
Take Solutions Ltd.,-21.18
Energy Developme,-21.15
Century Extru.,-21.15
Shivam Autotech Ltd.,-21.13
Genus Paper & Boards,-20.97
Centrum Capital,-20.94
Jindal Photo,-20.82
Setco Automotive,-20.75
One Point One Soluti,-20.7
Metalyst Forgings,-20.54
Reliance Infrastruct,-20.54
Rama Steel Tubes Ltd,-20.31
BPL Ltd.,-20.13
Adhunik Industries,-20.04
M&M Fin.Services,-20.02
Uniply Industries,-19.85
Windsor Machines,-19.74
Lypsa Gems & Jewell,-19.74
Zee Media Corp,-19.71
SE Power,-19.67
Beardsell Ltd.,-19.57
Paramount Commun,-19.48
Golden Tobacco Ltd.,-19.4
IFGL Refractories,-19.33
Future Market Net,-19.29
Ashima Ltd.,-19.23
Surana Telecom and P,-19.1
B C Power Controls L,-19.05
JBF Industries,-18.99
MSP Steel & Power Lt,-18.95
Reliance Capital,-18.88
Gallantt Ispat Ltd.,-18.8
Mindteck (India),-18.75
Bannari Amman Spinni,-18.66
Indo Rama Synth.,-18.55
Transformers & Recti,-18.49
MMP Industries Ltd.,-18.44
Technofab Engineerin,-18.42
Sintex Plastics Tech,-18.33
Sharda Motor Ind,-18.25
Visagar Polytex Ltd.,-18.18
Jain Irrigation,-18.11
Umang Dairies Ltd.,-18.06
Jai Balaji Industrie,-17.9
McNally Bharat E,-17.74
Banswara Syntex,-17.69
Country Condo's,-17.65
BAG Films & Media,-17.54
Vivimed Labs,-17.44
RPP Infra Projects L,-17.41
Rico Auto Inds.,-17.41
Lovable Lingerie Ltd,-17.38
HCL Infosystem,-17.21
Pennar Industrie,-17.2
Bang Overseas Ltd.,-17.14
Maheshwari Logist,-17.11
Jash Engineering,-17.0
Zee Entertainment En,-16.8
California Softw,-16.75
SAB Events & Governa,-16.67
BKM Industries,-16.67
Karma Energy,-16.52
Reliance Power L,-16.47
Mangalam Timber,-16.47
Talbros Auto.,-16.45
Grand Foundry,-16.42
Mukand Engineers,-16.4
Sutlej Textiles & In,-16.37
Global Offshore Ser,-16.36
Agri-Tech (India),-16.29
Nagreeka Exports,-16.19
Oil Country Tub.,-16.19
MT Educare Ltd.,-16.13
Motor & General,-16.11
Arshiya,-16.1
Imagicaaworld Entert,-16.07
Olectra Greentech,-16.05
Sumeet Industrie,-15.91
Garden Silk Mill,-15.9
Sical Logistics,-15.7
Kaya L,-15.62
HOV Services Ltd.,-15.59
Ashoka Buildcon Ltd.,-15.58
Onelife Capital Adv,-15.57
Vascon Engineers Ltd,-15.54
Maral Overseas,-15.52
