Company,% Change
Naga Dhunseri Group,+ 36.92
India Power Corp,+ 36.65
IVP,+ 29.50
The United Nilgiri,+ 28.96
PSL Ltd.,+ 28.57
Shekhawati Poly Yarn,+ 28.57
Onward Technolog,+ 27.76
Universus Photo Imag,+ 27.26
Sasken Technologies,+ 24.06
Kaushalya Infrastruc,+ 23.53
Majesco L,+ 21.53
Balaxi Ventures,+ 21.53
Repco Home Finance L,+ 21.46
Persistent Systems,+ 21.45
Venus Remedies L,+ 21.38
Omaxe Ltd.,+ 21.33
Alok Industries Ltd.,+ 21.31
Autoline Industries,+ 21.12
McLeod Russel,+ 20.95
Biofil Chemicals,+ 20.92
The Grob Tea Company,+ 20.90
Future Enterprises,+ 20.82
Bombay Rayon Fashion,+ 20.57
Garden Silk Mill,+ 20.20
Vikas Ecotech L,+ 20.00
Rana Sugars,+ 19.80
Alpa Laboratories Lt,+ 19.75
BKM Industries,+ 19.05
RattanIndia Infra,+ 18.89
Capri Global Capital,+ 18.29
Reliance Com,+ 17.86
TGB Banquets,+ 17.81
Tarmat L,+ 17.63
Renaissance Global,+ 17.44
MphasiS Ltd.,+ 16.58
Hikal Ltd.,+ 16.33
Pricol L,+ 15.97
Rollatainers Ltd,+ 15.79
Ballarpur Ind.,+ 15.79
Tree House Education,+ 15.31
Ramco Systems Lt,+ 15.23
Kingfa Science & Tec,+ 15.04
BLS International Se,+ 14.85
Allied Digital Servi,+ 14.53
Thyrocare Tech.,+ 14.45
MCX,+ 14.33
Integra Garments,+ 14.29
Orbit Exports Li,+ 13.93
NIIT Technologies,+ 13.91
KIOCL,+ 13.79
Sundaram Multi P,+ 13.79
Gokaldas Exports,+ 13.61
Zensar Technologies,+ 13.25
Nucleus Software,+ 12.83
Tata Coffee Ltd.,+ 12.71
Karda Constructions,+ 12.60
Aarti Drugs Ltd,+ 12.59
Visagar Polytex Ltd.,+ 12.50
Welspun India,+ 12.37
The Peria Karamalai,+ 12.35
Poddar Housing,+ 12.26
The Andhra Sugars,+ 12.13
Zen Technologies Ltd,+ 12.05
Future Supply Chain,+ 12.01
Intense Technologies,+ 11.77
Deepak Nitrite,+ 11.58
Royal Orchid Hotels,+ 11.42
Jain Studios Ltd,+ 11.34
Tata Communications,+ 11.29
Shree Pushkar Chemic,+ 11.15
Impex Ferro Tech Ltd,+ 11.11
Weizmann,+ 11.11
Indo Count Inds.,+ 10.92
Nectar Lifesciences,+ 10.92
Kopran Ltd,+ 10.86
Apollo Pipes,+ 10.80
Kirloskar Bros.,+ 10.71
Guj. Amb.Exports,+ 10.53
Somany Ceramics Ltd.,+ 10.47
Cineline India,+ 10.44
Birlasoft,+ 10.30
Camlin Fine Sciences,+ 10.24
PTC India Financial,+ 10.24
Birla Corporation Lt,+ 10.19
Kamat Hotels (In,+ 10.05
Future Market Net,+ 9.98
Future Retail L,+ 9.96
Supreme Inds.,+ 9.89
Agro Tech Foods Ltd.,+ 9.73
Xelpmoc Design and T,+ 9.72
Hexa Tradex Ltd.,+ 9.72
Pilani Investmen,+ 9.68
Saregama India Ltd.,+ 9.60
Jocil Ltd.,+ 9.54
Dynemic Products,+ 9.54
Emmbi Industries,+ 9.49
ADF Foods Ltd.,+ 9.45
MPS Ltd.,+ 9.37
Hinduja Global Solut,+ 9.31
Career Point,+ 9.24
UltraTech Cement,+ 8.94
Prajay Engineers,+ 8.93
Ambuja Cements Ltd.,+ 8.92
Indraprastha Med,+ 8.91
IMP Powers,+ 8.84
Sonata Software,+ 8.60
Harrisons Malaya,+ 8.59
Saksoft Ltd.,+ 8.50
Mastek Li,+ 8.48
Advanced Enzyme Tech,+ 8.17
Fineotex Chemical Lt,+ 8.02
Modi Rubber,+ 7.98
Ortin Laborator.,+ 7.97
National Fertilizers,+ 7.84
Global Vectra Helico,+ 7.77
Atul Ltd.,+ 7.69
Thangamayil Jeweller,+ 7.63
Central Depository,+ 7.61
Gyscoal Alloys Ltd.,+ 7.55
PTC India,+ 7.51
Prestige Estates Pro,+ 7.50
Steel ExchangeIndia,+ 7.46
Sharda Cropchem,+ 7.45
Mukta Arts Ltd.,+ 7.38
Jindal St & Pwr,+ 7.28
Infibeam Avenues,+ 7.22
Apollo Hospitals,+ 7.18
JaiprakashAssociates,+ 7.14
IndusInd Bank,+ 7.12
Tech Mahindra,+ 6.95
JK Lakshmi Cement L,+ 6.94
Crest Ventures,+ 6.93
Vikas Multicorp,+ 6.82
L&T Technology Serv,+ 6.74
Autolite (I),+ 6.63
Future Lifestyle,+ 6.49
Prime Focus,+ 6.49
Bannari Amman Su,+ 6.38
HCL Technologies,+ 6.36
Laurus Labs,+ 6.35
Kellton Tech Solutio,+ 6.30
Vimta Labs Ltd.,+ 6.28
McNally Bharat E,+ 6.25
Westlife Development,+ 6.23
Tata Steel,+ 6.21
Lincoln Pharmace,+ 6.21
Tejas Networks,+ 6.13
Eris Lifesciences,+ 6.13
L&T Infotech,+ 6.12
Xchanging Solutions,+ 6.10
IOL Chemicals and Ph,+ 6.05
Subros Ltd.,+ 5.89
Meghmani Organics,+ 5.84
IRB Infrastructure,+ 5.80
Tata Consumer Produc,+ 5.76
Donear Industrie,+ 5.73
Esab India,+ 5.67
Adani Green Energy,+ 5.65
Seamec Ltd.,+ 5.63
Caplin Point Lab,+ 5.60
CG Power and Indust,+ 5.59
Inox Leisure,+ 5.55
Remsons Industri,+ 5.54
Vardhman Holdings,+ 5.52
Speciality Restauran,+ 5.50
Elecon Engg.,+ 5.47
Adani Enterprises Lt,+ 5.38
OnMobile Global Ltd.,+ 5.36
Endurance Technologi,+ 5.32
Rossell India,+ 5.31
Dalmia Bharat Sugar,+ 5.29
Firstsource Solution,+ 5.28
Shalby,+ 5.28
Geekay Wires,+ 5.27
SAB Events & Governa,+ 5.26
MindTree Ltd.,+ 5.10
Infosys,+ 5.09
Repro India Ltd.,+ 5.09
Greenlam Industries,+ 5.07
Touchwood Entertainm,+ 5.03
Pearl Polymers,+ 5.00
DCM Nouvelle,+ 4.98
Prakash Indus.,+ 4.93
Madhya Bharat Agro,+ 4.83
Tata Consultancy,+ 4.83
EIH Associated,+ 4.82
TCI Express,+ 4.79
Eastern Silk Indust.,+ 4.76
Bajaj Electricals,+ 4.75
Aarti Ind. Ltd,+ 4.75
Indian Energy Exchan,+ 4.71
Sree Rayalaseema Hi-,+ 4.67
Bank of Maharash,+ 4.64
Rajratan Global Wire,+ 4.60
Lasa Supergenerics,+ 4.56
Poly Medicure Lt,+ 4.45
Deepak Fertilisers,+ 4.38
Pearl Global Industr,+ 4.37
